"ROI_A","ROI_B","a","b","k","w_k","w_norm","w_sync","w_frac","w_k_log","w_norm_log","w_sync_log","w_frac_log","xA","yA","zA","xB","yB","zB","lobeA","lobeB"
"T3a.L","CALC.L",1.15274743588862,0.779036111493934,0.826692796656657,0.826692796656657,0.872365086925196,2.21211007155218,0.461173665293905,0.602507116928548,0.627202384107363,1.16692806434921,0.379239993119795,-47.97,-5.1,-29.12,-10.47,-74.92,18.19,"Temporal","Occipital"
"T3a.L","CALC.R",1.67031720517833,1.38252642305323,0.984204538892505,0.984204538892505,0.647663117651042,3.41984934950182,0.392015537363101,0.68521809774869,0.499357991689822,1.48610561168562,0.330752723748714,-47.97,-5.1,-29.12,11.93,-73.63,18.36,"Temporal","Occipital"
"T3a.L","FMC.L",1.91633369286587,2.39915713364985,1.02615897906637,1.02615897906637,0.478574699545304,2.12532525776896,0.322295789264351,0.706141872178516,0.39107858290648,1.13953836025823,0.279369460172901,-47.97,-5.1,-29.12,-5.38,43.84,-7.87,"Temporal","Frontal"
"T3a.L","FMC.R",2.0132030196855,3.06852839117796,1.02481651350291,1.02481651350291,0.412322709719659,0.971089646943618,0.28741106205732,0.705479085837264,0.345235660918042,0.67858651011121,0.252633273156027,-47.97,-5.1,-29.12,5.51,43.41,-8.24,"Temporal","Frontal"
"T3a.L","SMC.L",1.46526026626412,1.35247443975931,1.00700056184377,1.00700056184377,0.715332230425947,8.9283526547386,0.416827656699108,0.69664134975625,0.53960678222152,2.29539456849813,0.348420327834577,-47.97,-5.1,-29.12,-5.79,-2.67,66.3,"Temporal","Frontal"
"T3a.L","SMC.R",1.24525094126646,1.13048783591004,0.964183651516203,0.964183651516203,0.812640340071558,8.40143918276359,0.448029687720617,0.675076714479224,0.59478453375422,2.24086278210597,0.370203796322837,-47.97,-5.1,-29.12,6.39,-2.85,67.64,"Temporal","Frontal"
"T3a.L","SC.L",1.64384950382449,1.44768534904213,0.994337422590532,0.994337422590532,0.644563438781553,5.06887894383551,0.391455267278694,0.690311876175857,0.497474962237103,1.80317390001374,0.330350154344329,-47.97,-5.1,-29.12,-5.7,20.6,-5.68,"Temporal","Frontal"
"T3a.L","SC.R",1.77039174765797,2.42384765062326,0.994583204105747,0.994583204105747,0.480124395160244,1.52203335765906,0.321694300917922,0.690435108267206,0.392126135027903,0.925065464124193,0.278914474839152,-47.97,-5.1,-29.12,5.66,20.42,-5.9,"Temporal","Frontal"
"T3a.L","PAC.L",1.33542772046182,1.24901755530119,0.984414814113233,0.984414814113233,0.762225854549014,11.3922178029119,0.432398585576598,0.685324066702738,0.566577700087849,2.51706867905048,0.359350371691637,-47.97,-5.1,-29.12,-6.82,36.58,30.93,"Temporal","Cingulate"
"T3a.L","PAC.R",1.83439134519814,1.45471784989992,0.963530565703101,0.963530565703101,0.589834424814688,2.53778059267919,0.369439840109222,0.674744161863122,0.463629875473006,1.26349957930902,0.314401780394834,-47.97,-5.1,-29.12,7.07,36.37,32.84,"Temporal","Cingulate"
"T3a.L","CGa.L",1.39548259781156,0.263399375285808,0.521857823462226,0.521857823462226,0.86076106808778,0.460970847467451,0.386189804650248,0.419931840793734,0.620985580426558,0.379101178748436,0.32655883558381,-47.97,-5.1,-29.12,-5.15,18.19,34.6,"Temporal","Cingulate"
"T3a.L","CGa.R",0.895849306455203,0.618533216224432,0.936458086423064,0.936458086423064,1.25802522639393,3.37684953222243,0.552923240964854,0.660860575753444,0.814490637673006,1.47632918069815,0.440139116650668,-47.97,-5.1,-29.12,5.75,19.31,34.15,"Temporal","Cingulate"
"T3a.L","CGp.L",1.14336090255215,0.391305628526003,0.788364696088419,0.788364696088419,1.1786298931101,1.04827886331949,0.506759483867723,0.58130162468207,0.77869618981971,0.71699986163804,0.409961307615545,-47.97,-5.1,-29.12,-6.3,-38.56,38.79,"Temporal","Cingulate"
"T3a.L","CGp.R",1.78538864814471,2.25583626908879,0.990300655574334,0.990300655574334,0.493454250838637,2.10501340951331,0.328903763747559,0.688285710527666,0.401091726024496,1.13301803405995,0.284354364579141,-47.97,-5.1,-29.12,6.96,-35.8,40.04,"Temporal","Cingulate"
"T3a.L","PCN.L",1.09647301367751,0.933279118472335,0.973551684991467,0.973551684991467,0.962397009164486,5.96557682620811,0.489608779835904,0.679834805284523,0.674166689890703,1.94098042163574,0.39851352161292,-47.97,-5.1,-29.12,-8.16,-60.06,47.25,"Temporal","Parietal"
"T3a.L","PCN.R",1.55088155256872,1.58311804743615,0.997502426209375,0.997502426209375,0.636601995573026,30.9423058556926,0.388965318888746,0.691897613280521,0.492622138451123,3.46393133353398,0.32855909505786,-47.97,-5.1,-29.12,9.33,-58.48,48.1,"Temporal","Parietal"
"T3a.L","CN.L",1.32591419585117,1.07411695225629,0.987398402781029,0.987398402781029,0.827387441603197,3.92138717365187,0.451399878229643,0.68682644814218,0.602887319282966,1.59359043662915,0.372528523963345,-47.97,-5.1,-29.12,-8.66,-80.04,37.62,"Temporal","Occipital"
"T3a.L","CN.R",1.77523608040414,2.20692942899753,1.00486182622019,1.00486182622019,0.507673000616275,2.32771596268145,0.335407347859309,0.695575143780416,0.410567402979246,1.20228617156467,0.289236374792308,-47.97,-5.1,-29.12,9.38,-78.23,37.98,"Temporal","Occipital"
"T3a.L","FOC.L",1.57500370812171,1.67083394554487,1.00997951016665,1.00997951016665,0.622594282162299,10.5391471228415,0.383599889131106,0.698124528072085,0.484026277098774,2.44574535218251,0.324688717950132,-47.97,-5.1,-29.12,-29.69,23.81,-6.49,"Temporal","Frontal"
"T3a.L","FOC.R",1.35432787055674,0.671925018693116,0.93653010439636,0.93653010439636,0.981746650443138,1.37239861973043,0.480356452969366,0.660897765628422,0.68397860253218,0.863901519179209,0.39228290537806,-47.97,-5.1,-29.12,29.31,23.43,-6.21,"Temporal","Frontal"
"T3a.L","PHa.L",1.11237409232227,0.64332073795566,0.794389506616723,0.794389506616723,0.939062050945466,1.69359797904325,0.475046027438917,0.584664856356073,0.662204377267541,0.990877838583502,0.38868919434825,-47.97,-5.1,-29.12,-21.68,-9.28,-20.7,"Temporal","Temporal"
"T3a.L","PHa.R",1.54346869220607,1.72789931869222,0.984108940055159,0.984108940055159,0.602608215354948,5.33590121610222,0.375643785797629,0.685169916657216,0.471632436615353,1.84623206349763,0.31892182939626,-47.97,-5.1,-29.12,22.59,-8.04,-20.63,"Temporal","Temporal"
"T3a.L","PHp.L",1.46363441199504,1.54206593251184,0.942135344238992,0.942135344238992,0.627112589377486,12.0120498236082,0.385333711747534,0.663788060663635,0.48680702644344,2.56587583765451,0.325941057726342,-47.97,-5.1,-29.12,-22.15,-32.31,-7.13,"Temporal","Temporal"
"T3a.L","PHp.R",0.896390095429528,0.513628342213822,0.84777077884228,0.84777077884228,1.2494112968322,2.21487271611436,0.545969667382172,0.613979928103207,0.810668536128726,1.16778776627268,0.435651329909476,-47.97,-5.1,-29.12,22.95,-30.25,-6.98,"Temporal","Temporal"
"T3a.L","LG.L",1.65953855648769,1.60461083131953,1.0069631606034,1.0069631606034,0.617070875612776,18.3321778818026,0.381564500442342,0.696622714191526,0.480616411182185,2.96177095535798,0.323216552993833,-47.97,-5.1,-29.12,-12.57,-65.51,4.55,"Temporal","Occipital"
